Date,Close
2020-10-01,30.38
2020-10-02,30.46
2020-10-05,30.96
2020-10-06,30.4
2020-10-07,31.62
2020-10-08,32.21
2020-10-09,32.16
2020-10-12,32.21
2020-10-13,31.87
2020-10-14,31.67
2020-10-15,32.59
2020-10-16,33.45
2020-10-19,33.35
2020-10-20,35.6
2020-10-21,35.77
2020-10-22,37.41
2020-10-23,36.83
2020-10-26,35.82
2020-10-27,34.89
2020-10-28,34.09
2020-10-29,34.89
2020-10-30,34.53
2020-11-02,34.55
2020-11-03,35.35
2020-11-04,35.24
2020-11-05,37.14
2020-11-06,37.47
2020-11-09,38.96
2020-11-10,41.08
2020-11-11,40.56
2020-11-12,39.32
2020-11-13,41.19
2020-11-16,42.13
2020-11-17,41.98
2020-11-18,42.72
2020-11-19,42.82
2020-11-20,43.04
2020-11-23,44.77
2020-11-24,46.46
2020-11-25,45.46
2020-11-27,45.06
2020-11-30,43.84
2020-12-01,44.68
2020-12-02,44.58
2020-12-03,44.09
2020-12-04,44.4
2020-12-07,44.31
2020-12-08,43.8
2020-12-09,44.43
2020-12-10,42.87
2020-12-11,41.92
2020-12-14,41.62
2020-12-15,41.66
2020-12-16,41.42
2020-12-17,42.03
2020-12-18,41.01
2020-12-21,41.21
2020-12-22,40.9
2020-12-23,42.45
2020-12-24,41.58
2020-12-28,41.66
2020-12-29,41.57
2020-12-30,41.84
