Date,Open,High,Low,Close,Volume,H-L,H-PC,L-PC,TR,ATR
2020-10-01,29.59,30.5,29.17,30.38,15052939,1.3299999999999983,,,,
2020-10-02,29.65,30.9,29.59,30.46,9474033,1.3099999999999987,0.5199999999999996,0.7899999999999991,1.3099999999999987,
2020-10-05,30.85,31.29,30.8,30.96,8314143,0.48999999999999844,0.8299999999999983,0.33999999999999986,0.8299999999999983,
2020-10-06,31.28,31.44,30.31,30.4,10293663,1.1300000000000026,0.4800000000000004,0.6500000000000021,1.1300000000000026,
2020-10-07,30.82,31.75,30.82,31.62,11794973,0.9299999999999997,1.3500000000000014,0.4200000000000017,1.3500000000000014,
2020-10-08,31.9,32.62,31.8,32.21,17323332,0.8199999999999967,0.9999999999999964,0.17999999999999972,0.9999999999999964,
2020-10-09,32.3,32.68,32.01,32.16,9411657,0.6700000000000017,0.46999999999999886,0.20000000000000284,0.6700000000000017,
2020-10-12,32.33,32.66,32.13,32.21,6932582,0.529999999999994,0.5,0.02999999999999403,0.529999999999994,
2020-10-13,32.14,32.26,31.48,31.87,7842070,0.7799999999999976,0.04999999999999716,0.7300000000000004,0.7799999999999976,
2020-10-14,32.0,32.2,31.54,31.67,8018000,0.6600000000000037,0.33000000000000185,0.33000000000000185,0.6600000000000037,
2020-10-15,31.08,32.69,31.03,32.59,11829829,1.6599999999999966,1.019999999999996,0.6400000000000006,1.6599999999999966,
2020-10-16,32.88,33.47,32.68,33.45,11956111,0.7899999999999991,0.8799999999999955,0.0899999999999963,0.8799999999999955,
2020-10-19,33.49,33.78,33.05,33.35,10527294,0.730000000000004,0.3299999999999983,0.4000000000000057,0.730000000000004,
2020-10-20,33.93,36.36,33.78,35.6,38660944,2.5799999999999983,3.009999999999998,0.4299999999999997,3.009999999999998,
2020-10-21,35.95,36.23,35.16,35.77,23277872,1.0700000000000003,0.6299999999999955,0.44000000000000483,1.0700000000000003,
2020-10-22,35.96,37.41,35.93,37.41,23288870,1.4799999999999969,1.6399999999999935,0.1599999999999966,1.6399999999999935,
2020-10-23,37.49,38.03,36.78,36.83,16296331,1.25,0.6200000000000045,0.6299999999999955,1.25,
2020-10-26,36.33,36.39,35.21,35.82,15448127,1.1799999999999997,0.4399999999999977,1.6199999999999974,1.6199999999999974,
2020-10-27,35.63,35.85,34.76,34.89,11168566,1.0900000000000034,0.030000000000001137,1.0600000000000023,1.0900000000000034,
2020-10-28,33.81,34.62,33.57,34.09,15010801,1.0499999999999972,0.2700000000000031,1.3200000000000003,1.3200000000000003,
2020-10-29,34.51,35.66,34.36,34.89,14230351,1.2999999999999972,1.5699999999999932,0.269999999999996,1.5699999999999932,1.2049999999999987
2020-10-30,34.46,35.03,33.96,34.53,13074624,1.0700000000000003,0.14000000000000057,0.9299999999999997,1.0700000000000003,1.192999999999999
2020-11-02,35.07,35.34,34.38,34.55,14648408,0.9600000000000009,0.8100000000000023,0.14999999999999858,0.9600000000000009,1.1994999999999991
