Date,Open,High,Low,Close,Volume
2020-10-01,29.59,30.5,29.17,30.38,15052939
2020-10-02,29.65,30.9,29.59,30.46,9474033
2020-10-05,30.85,31.29,30.8,30.96,8314143
2020-10-06,31.28,31.44,30.31,30.4,10293663
2020-10-07,30.82,31.75,30.82,31.62,11794973
2020-10-08,31.9,32.62,31.8,32.21,17323332
2020-10-09,32.3,32.68,32.01,32.16,9411657
2020-10-12,32.33,32.66,32.13,32.21,6932582
2020-10-13,32.14,32.26,31.48,31.87,7842070
2020-10-14,32.0,32.2,31.54,31.67,8018000
2020-10-15,31.08,32.69,31.03,32.59,11829829
2020-10-16,32.88,33.47,32.68,33.45,11956111
2020-10-19,33.49,33.78,33.05,33.35,10527294
2020-10-20,33.93,36.36,33.78,35.6,38660944
2020-10-21,35.95,36.23,35.16,35.77,23277872
2020-10-22,35.96,37.41,35.93,37.41,23288870
2020-10-23,37.49,38.03,36.78,36.83,16296331
2020-10-26,36.33,36.39,35.21,35.82,15448127
2020-10-27,35.63,35.85,34.76,34.89,11168566
2020-10-28,33.81,34.62,33.57,34.09,15010801
2020-10-29,34.51,35.66,34.36,34.89,14230351
2020-10-30,34.46,35.03,33.96,34.53,13074624
2020-11-02,35.07,35.34,34.38,34.55,14648408
2020-11-03,35.13,35.98,34.9,35.35,11439110
2020-11-04,35.26,35.77,34.27,35.24,14740620
2020-11-05,36.81,37.25,35.34,37.14,35075004
2020-11-06,37.5,38.14,37.01,37.47,18089200
2020-11-09,38.78,39.71,38.64,38.96,22100754
2020-11-10,39.65,41.59,39.59,41.08,26746936
2020-11-11,41.37,41.75,40.13,40.56,19841052
2020-11-12,40.12,40.21,38.82,39.32,20268328
2020-11-13,39.69,41.32,39.6,41.19,15021310
2020-11-16,41.9,42.13,40.95,42.13,16692064
2020-11-17,41.82,42.53,41.16,41.98,16088206
2020-11-18,42.1,44.13,42.1,42.72,27632540
2020-11-19,42.72,43.18,42.19,42.82,17214470
2020-11-20,42.81,43.32,42.37,43.04,16887844
2020-11-23,43.88,45.16,43.58,44.77,22569560
2020-11-24,45.84,46.7,45.08,46.46,20048744
2020-11-25,45.59,45.7,44.67,45.46,16122250
2020-11-27,45.35,45.59,44.75,45.06,7528791
2020-11-30,44.85,45.31,43.66,43.84,21600464
2020-12-01,44.78,45.45,44.0,44.68,12600875
2020-12-02,44.0,44.59,43.69,44.58,11280736
2020-12-03,44.77,44.87,43.96,44.09,13437833
2020-12-04,44.4,44.74,44.13,44.4,11895202
2020-12-07,44.37,44.37,43.58,44.31,9207532
2020-12-08,43.7,44.16,43.44,43.8,10160435
2020-12-09,44.14,44.54,43.92,44.43,12470461
2020-12-10,43.71,43.71,42.47,42.87,18235572
2020-12-11,42.48,42.68,41.62,41.92,15555640
2020-12-14,42.5,42.5,41.43,41.62,9995687
2020-12-15,42.07,42.15,41.31,41.66,12531589
2020-12-16,41.86,41.86,40.83,41.42,15134093
2020-12-17,41.68,42.03,41.44,42.03,12081557
2020-12-18,42.02,42.05,40.59,41.01,21808272
2020-12-21,40.25,41.5,40.07,41.21,15533942
2020-12-22,41.29,41.36,40.58,40.9,10602715
2020-12-23,41.18,42.88,41.1,42.45,17573082
2020-12-24,42.06,42.2,41.21,41.58,7825369
2020-12-28,41.93,42.18,41.65,41.66,10471357
2020-12-29,41.9,42.12,41.38,41.57,7987675
2020-12-30,41.6,42.19,41.58,41.84,6491928
